Date,Rank,Song,Artist,LastWeek,PeakRank,WeeksOnBoard
9/22/2001,1,I'm Real,Jennifer Lopez Featuring Ja Rule,1.0,1,12
9/22/1990,1,Release Me,Wilson Phillips,1.0,1,13
9/22/1984,1,Missing You,John Waite,2.0,1,14
9/22/1979,1,My Sharona,The Knack,1.0,1,14
9/22/1973,1,Let's Get It On,Marvin Gaye,2.0,1,11
9/22/1962,1,Sherry,The 4 Seasons,1.0,1,5
9/22/1958,1,Nel Blu Dipinto Di Blu (Volar��),Domenico Modugno,1.0,1,8
9/21/2019,1,Truth Hurts,Lizzo,1.0,1,19
9/21/2013,1,Roar,Katy Perry,1.0,1,5
9/21/2002,1,Dilemma,Nelly Featuring Kelly Rowland,1.0,1,11
9/21/1996,1,Macarena (Bayside Boys Mix),Los Del Rio,1.0,1,40
9/21/1991,1,I Adore Mi Amor,Color Me Badd,2.0,1,9
9/21/1985,1,Money For Nothing,Dire Straits,3.0,1,11
9/21/1974,1,"Can't Get Enough Of Your Love, Babe",Barry White,5.0,1,8
9/21/1968,1,Harper Valley P.T.A.,Jeannie C. Riley,2.0,1,5
9/21/1963,1,Blue Velvet,Bobby Vinton,2.0,1,7
9/21/1959,1,Sleep Walk,Santo & Johnny,2.0,1,9
9/20/2014,1,All About That Bass,Meghan Trainor,2.0,1,9
9/20/2008,1,Whatever You Like,T.I.,1.0,1,5
9/20/2003,1,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee",1.0,1,13
9/20/1997,1,Honey,Mariah Carey,1.0,1,2
9/20/1986,1,Stuck With You,Huey Lewis & The News,3.0,1,8
9/20/1980,1,Upside Down,Diana Ross,1.0,1,11
9/20/1975,1,Fame,David Bowie,5.0,1,13
9/20/1969,1,"Sugar, Sugar",The Archies,2.0,1,9
9/2/2017,1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1.0,1,31
9/2/2006,1,London Bridge,Fergie,1.0,1,5
9/2/2000,1,Doesn't Really Matter,Janet,1.0,1,12
9/2/1995,1,You Are Not Alone,Michael Jackson,,1,1
9/2/1989,1,Cold Hearted,Paula Abdul,2.0,1,11
9/2/1978,1,Grease,Frankie Valli,1.0,1,15
9/2/1972,1,Alone Again (Naturally),Gilbert O'Sullivan,2.0,1,12
9/2/1967,1,Ode To Billie Joe,Bobbie Gentry,1.0,1,5
9/19/2020,1,WAP,Cardi B Featuring Megan Thee Stallion,2.0,1,5
9/19/2015,1,What Do You Mean?,Justin Bieber,,1,1
9/19/2009,1,I Gotta Feeling,The Black Eyed Peas,1.0,1,13
9/19/1998,1,I Don't Want To Miss A Thing,Aerosmith,1.0,1,3
9/19/1992,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,1.0,1,10
9/19/1987,1,I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,2.0,1,7
9/19/1981,1,Endless Love,Diana Ross & Lionel Richie,1.0,1,11
9/19/1970,1,Ain't No Mountain High Enough,Diana Ross,2.0,1,7
9/19/1964,1,House Of The Rising Sun,The Animals,1.0,1,7
9/19/1960,1,The Twist,Chubby Checker,2.0,1,8
9/18/2021,1,Way 2 Sexy,Drake Featuring Future & Young Thug,,1,1
9/18/2010,1,Teenage Dream,Katy Perry,2.0,1,7
9/18/2004,1,Goodies,Ciara Featuring Petey Pablo,1.0,1,13
9/18/1999,1,Unpretty,TLC,2.0,1,13
9/18/1993,1,Dreamlover,Mariah Carey,1.0,1,7
9/18/1982,1,Hard To Say I'm Sorry,Chicago,1.0,1,16
9/18/1976,1,Play That Funky Music,Wild Cherry,3.0,1,14
9/18/1971,1,Go Away Little Girl,Donny Osmond,1.0,1,7
9/18/1965,1,Help!,The Beatles,1.0,1,7
9/18/1961,1,Take Good Care Of My Baby,Bobby Vee,2.0,1,7
9/17/2016,1,Closer,The Chainsmokers Featuring Halsey,1.0,1,5
9/17/2011,1,Someone Like You,Adele,19.0,1,9
9/17/2005,1,Gold Digger,Kanye West Featuring Jamie Foxx,19.0,1,8
9/17/1994,1,I'll Make Love To You,Boyz II Men,1.0,1,6
9/17/1988,1,Sweet Child O' Mine,Guns N' Roses,1.0,1,13
9/17/1983,1,Maniac,Michael Sembello,1.0,1,16
9/17/1977,1,I Just Want To Be Your Everything,Andy Gibb,3.0,1,22
9/17/1966,1,You Can't Hurry Love,The Supremes,1.0,1,6
9/16/2017,1,Look What You Made Me Do,Taylor Swift,77.0,1,2
9/16/2006,1,SexyBack,Justin Timberlake,1.0,1,9
9/16/2000,1,Music,Madonna,2.0,1,6
9/16/1995,1,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.,1.0,1,5
9/16/1989,1,Don't Wanna Lose You,Gloria Estefan,3.0,1,11
9/16/1978,1,Boogie Oogie Oogie,A Taste Of Honey,1.0,1,13
9/16/1972,1,Black & White,Three Dog Night,9.0,1,6
9/16/1967,1,Ode To Billie Joe,Bobbie Gentry,1.0,1,7
9/15/2018,1,In My Feelings,Drake,1.0,1,10
9/15/2012,1,Whistle,Flo Rida,2.0,1,16
